,한줄평,기업성장여부
19,"하고싶다면 본인이 모두 할수있는 기회가 곳처에 있음
신사업에도 많은 투자를 하고 있기에 늘 새로운곳에 도전을 할수 있음",성장
20,연차를 눈치 안보고 쓸수 있음. 퇴근이 자유로움. 젊은 구성원들로 인한 젊은 에너지 발산.,성장
21,복지나 환경 등은 최상입니답 복장도 자유롭고 크게 터치받지않습니자,성장
22,연차 사용이 쉽다 / 별 눈치 안봄 / 도서 편히 구입 / 커리어에 도움 굳굳,성장
23,"윗사람 눈치 안보고 휴가 쓸 수 있고, 일을 자율적으로 할 수 있습니다.",성장
24,"도서구입비, 연장근무수당지급, 대표님과 허물없이 소통할 수 있는 우아한수다타임",성장
25,투잡가능. 그 외에 1도 없음. 글자수를 채우라는 요구조차 고통이다.,성장
26,"내게 딱 맞고 실제로 도움이 되는 복지들이 많고, 꼰대 리더들이 없음. 높은 수준의 연봉 시스템.",성장
27,일단 업종 자체가 진입장벽이 높지않음에도 업계 부동의 1위를 유지할 수밖에 없는 구조입니다. 경쟁사가 아무리 발버둥을 쳐도 위기때마다 따라잡히지않을 정도의 경영적 판단이 이루어지고 있습니다. 또한 복지가 종류도 많고 직원을 세세하게 챙겨준다는 느낌이 많이 있습니다. 예를들면 주택자금이자지원이나 산후조리비용 300만원지원같이 모든 사람이 누리지는 못하지만 언젠간 저 때가 되면 나가는 돈이 많아 힘들수있는데 든든하겠구나 하는 생각을 하게됩니다.,성장
28,도서 구입하는데 무제한 지원할 수 있는 점과 월요일에는 오후에 출근한다는 점이 장점인 것같습니다. 주 35시간 근무인데 이만큼 일하는 곳이 얼마 없을 것 같네요.,성장
29,"의욕을 가지고 일하면 성장의 기회가 충분히 보장된다고 생각한다.
함께성장할 수 있다는 믿음이 있다.",성장
30,"업무 공간 인테리어가 예쁘고, 스타트업스러움. 디자인에 신경을 많이 썼음.",성장
31,"출퇴근에 자유로운편, 쉴때는 쉬고 일할땐 일하는 분위기 쉽게 말해 꼰대가 없는 젊은 기업임
일에 대한 열정만 있다면 계속 다녔을듯",성장
32,"눈치보지 않고 휴가, 퇴근이 가능하고, 주 35시간 근무 및 가족생일 조기퇴근 가능. 직급아닌 'OO님' 호칭도입하여 수평적이고 편한 분위기 속에서 근무할수 있음.",성장
33,"월요일 13시출근, 높지않은 실적압박, 사내분위기 등이 만족",성장
34,"연차를 자유롭게 쓸 수 있고 근무환경 깔끔함, 상담 유형은 대개 비슷비슷해서 하다 보면 크게 어려움은 없음",성장
35,"출퇴근에 자유로운편, 쉴때는 쉬고 일할땐 일하는 분위기 쉽게 말해 꼰대가 없는 젊은 기업임
일에 대한 열정만 있다면 계속 다녔을듯",성장
36,가족과 함께하는 것을 중요하게 생각하는 문화와 복지 제도가 있어서 좋음. 근데 눈치 보게 됨.,성장
37,연차 눈치안보고 쓸 수 있음. 분위기 자유로운 편. 여전히 성장하고 있는 분위기. 신사업에 대한 다양한 지원.,성장
38,사내복지 빵빵하고 좋음 사람들이 좋은 수평적 분위기 너무좋음,성장
39,"수평적 구조를 위해 노력을 많이하고, 분위기가 좋다. 다양한 행사를 통해 사내 구성원들 끼리 친목을 다지려는 노력이 좋고 서로서로 인사하는 분위기가 좋다.",성장
40,프리랜서로 정해진 시간만 지키면 되고 사전에 미리 이야기하면 일정 조율이나 추가 근무가 가능함,성장
41,"수평적인 문화, 휴가를 자율적으로 사용이 가능하며 상사 눈치를 보지 않아도 됨. CEO가 소통을 위해 주기적으로 임직원의 목소리를 들으려고 노력함",성장
42,"복지가 너무 좋음. 도서구입비 지원, 시간제 연차제도, 생리휴가, 월요일1시출근,사내마사지 등등
회사 시설도 좋아서 편하게 업무를 보고 쉴 수 있는 환경임.",성장
43,연차 마음껏 사용 가능. 도서구입비 무제한(만화책 잡지 제외). 4.5일제. 포괄임금제 폐지해서 야근수당 쏠쏠함.,성장
44,"자유로운 연차사용, 포괄임금제 폐지, 다양한 복지(출산지원금, 전세대출지원금, 도서구입비, 주 35시간 근무 등)",성장
45,눈치안보고 휴가쓸수있다!! 월요일 오후출근이 제일 좋다 ㅎ,성장
46,"자유로움이 가장 큰 장점
복장, 연차 등 자유로움
시간별로 쪼개서 연차를 쓸수있어 볼일 보기 용이함",성장
47,"연차 눈치 안보고 쓸 수 있음, 하고 싶은 일이 있으면 추진할 수 있음",성장
48,배달의민족 이라는 브랜드 하나만 보장됨... 마치 보험사 영업직에서 나도 @@다닌다 라는 것처럼,성장
49,수평적이고 자유로운 사무실 분위기가 가장 큰 장점이라고 할 수 있다. 선임들와의 관계도 수평적인편,성장
50,"꿀같은 월요일 출근, 나름 괜찮은 사내 복지.
개발자직에서는 나름 괜찮은 회사",성장
51,"연봉을 많이 줌, 맥북을 지원해 줌, 기업 문화가 잘 정립되어 있음, 잠실에 위치해 있음",성장
52,업무성취도가 높은편인것 같습니다 여러 기옵들 경험해봤으나 만족도상,성장
53,복지가 아주 좋음. 퇴근하거나 휴가쓸때 눈치 안볼 수 있다. 유연하게 일할 수 있도록하는 분위기,성장
54,"연차사용자유, 칼퇴가능, 다양한 사내 이벤트로 재밌는 회사생활, 다양한복지, 휴게실, 점심시간이 길어서좋음",성장
55,"복지로는 업계 최고수준, 앞으로 몇년간 성장가능성 많음",성장
56,"여기에서 일했다고 하면 어디서든 오 하는 분위기
결과물 컨펌이 현대 흐름에 맞는다는 것",성장
57,"연차를 눈치안보고 쓸수 있고, 본인 의지에 따라 기회와 책임이 생기는 곳",성장
58,"직원의 복지가 잘 되어 있으며, 피플팀을 운영하면서 직원들의 복지에 더욱 신경을 쓰고 있다.",성장
59,다양한 것을 시도하려 노력하며 직원들의 의견을 수용하려 합니다,성장
60,말이 아닌 실질적 복지가 많은 편이고 대표가 한말은 지키는 느낌,성장
61,도서구입비와 칼퇴근. 사회에 긍정적으로 기여하는 공헌도가 높다. 신기술을 받아들이는 것에 익숙하다.,성장
62,"자율적으로 이루어지는 근무.
일과 삶의 밸런스를 갖출 수 있음
특히 가정이 있는 사람에게 좋음",성장
63,"분위기도 좋고 복지가 좋았음.
사실 뭐하나 부족한 건 없었음.",성장
64,"도서지원비, 야근택시비, 야식 지원, 아침 과일 지원, 젊은 회사 분위기",성장
65,"복지가 좋음. 월요일 오후출근에 주 35시간근무, 도서구입 무제한 등 좋고 개발자가 크기에 좋은 사람들이 많이 포진되어 있고, 팀 by 팀이지만 팀마다 개발문화도 좋다고 들었음. 대기업으로가고있긴 하나, 아직도 할일이 많아서 재밌게 일할수 있을거 같다. 대표님도 직원들하고 커뮤니케이션많이 하려고 노력하고있음.",성장
66,"첫 번째는 수평적인 분위기라 팀워크가 좋고 타 기업과는 다르게 자유롭게 일하는 분위기입니다.
두 번째는 도서구입비 지원과 같은 사내 복리후생이 매우 잘 갖춰져있습니다",성장
67,"각종 복지혜택. 월요일 오전 근무 없음. 배우자 부모까지 포함되는 실비보험. 무제한 도서비 지원.
젊은 문화. 모두 님으로 호칭. (하려고 노력. 실상은 임원 이상은 공식적으로 임원 직급을 붙여서 불러야. 팀장도 팀장이나 직급을 붙여서 불러야 좋아함. 그렇지 않아도 그 이하지만 나이가 있거나 위계질서가 강한 조직은 이름 님으로 부르면 싫어함.)
여유로운 점심 시간.
이쁜 공간.",성장
68,"도서를 무제한으로 살 수 있고, 월요일은 오후 1시 출근. 카페처럼 야근 할때까지 음악이 계속 나온다",성장
69,도서 구입비 및 사내 분위기가 장점입니다. 또한 업무 시간에 있어 워라벨이 가능하다고 생각합니다.,성장
70,도전적이고 미래지향적이다. 뿌리부터 끝까지 아이티기업임으로 성장가능성은 높다고 생각됩니다. 배달의 민족과 로봇에 사업이 집중 되어 있다,성장
71,복지는 직원들에게 맞춰 잘 구성이 되어 있다. 상하 구조가 아닌 수평구조로 의견을 제시하는데 제약이 없는 것 같았다. 근무 환경도 대기업 못지 않게 깨끗한 편이다.,성장
72,"모든 업무에 대해 수평적인 구조가 가장 큰 장점
외부에 보여지는 만큼은 아니지만, 굉장히 자유로운 편
사람 스트레스도 상당히 덜한편",성장
73,"수평적인 사무실 분위기와, 뭐니뭐니 해도 월요일은 월요병방지-13시 출근?? 주 4.5 일제",성장
74,동료들과 어울리기 좋아하는 사람들이라면 정말 많은 기회를 제공함. 퇴근시간이 되어도 노느라 집에 안감,성장
75,알바생으로서 근무했을때 상당히 수평적인 분위기에서 근무할 수 있었으며 상사분들이 업무 지시 할 때 강요가 아닌 부탁 식으로 말씀해주시는 것이 상당히 인상깊었음. 자유로운 분위기가 매력적인 회사,성장
76,1. 퇴근 할 때 눈치를 보지 않아도 된다. 2. 점심밥이 맛있다. 3. 긍정적인 분위기,성장
77,윗사람과 서슴없이 일에 대해 논의하고 프로세스을 잡아나갈 수 있다는 게 최고의 장점.,성장
78,복지와 근무환경 및 사람들이 젊어 다른기업에 비해 활기가 남친다,성장
79,"복지제도!! 월요일 오후출근에 7.5시간 근무!
이것외에도 좋은 복지제도가 넘쳐난다",성장
80,출퇴근의 자유가 있는 회사 하기만 하면 걱정이 없는 회사,성장
81,"- 도서구입비
- 주35시간 근무
- 성장 가능성
- 좋은 사람들
- 자유로운 연차 사용",성장
82,눈치보지 않고 퇴근하는 문화! + 결혼/출산/육아에 특화된 복지제도들이 있어 유부들에게 좋다. 그리고 다른 회사에 비해 수평적인 편임.,성장
83,"일이 없다면 눈치안보고 칼퇴근, 휴가를 자유롭게씀 1시간 반정도 되는 점심시간 너무 좋고
개인적인 의견도 말할 수 있음",성장
84,"월요일 오전에 출근을 하지 않기 때문에 월요병이 없습니다. 신입으로 들어간다면 연봉도 적지 않다고 생각합니다. 또한 복지정책도 좋아, 임신 휴가 등이 자유롭습니다.",성장
85,대표가 정말 보기드믈게 좋은사람이다 믿어도됨 자유로운 분위기 자잘한 복지,성장
86,"연차와 야근, 수평적인 회사분위기 자유롭고 가족같은 분위기",성장
87,직원 복지가 굉장히 잘 되어 있다. 월요일 오후출근인게 제일 좋은 장점이다.,성장
88,"창의성을 중요하며, 중소 기업임에도 직원 복지를 위한 팀이 따로 있다",성장
89,주4.5일 근무와 신입에게도 높은 연봉을 주며 기술력이 좋은 회사!!,성장
90,수직적인 느낌의 꼰대문화는 없다 사원복지에 신경쓰고 트렌디한 느낌이다 사람들 연령이 대체로 젊은편이었다,성장
91,"자유로운척 하는 조직문화,it업계라고 구글처럼 보이고 싶은 회사",성장
92,"도서비 지원
칼퇴 가능
지방 지사는 구성원 수가 적어서 가족or동아리같은 분위기임",성장
93,퇴근을 하거나 휴가를 사용할 때 눈치를 주지 않는 자유로운 분위기,성장
94,함께 일하는 동료들에게 배울점이 많고 좋은 사람들과 일할수 있음에 감사함,성장
95,"자유 연차 휴가 가능합니다. 자유로운 사내분위기 좋아요
계속 다니고 싶은회사",성장
96,도서구입비무제한 직원들의 창의력개발에 힘쓰는 회사 . 인생에있어 중요한 이벤트를 존중해주는 직원을 위하는 회사. 협업을 중시하며 직원과의 소통을 중요시하는 회사,성장
97,"연차 눈치 안 봐도 되고, 재택근무, 생리휴가, 도서구입 무제한, 9시 넘어서 까지 야근할 경우 야근비 25,000원 지급. 배민만의 문화가 담겨있는 각종 연례행사들.",성장
98,"수평적인 기업문화. 월요일 1시출근. 점심시간 1시간 30분.
사람들이 많이 친절한 편이다",성장
99,수평적인 분위기와 자유로운 기업문화 많은 복지제도가 커다란 장점 특히나 도서구입비는 책을 좋아하는 사람으로썬 행운,성장
100,"워라밸이 보장되어있고 휴가를 눈치없이 쓸수 있으며
경영진들이 다들 존경할 수 있는 분들이다.",성장
101,도서구입비무제한 직원들의 창의력개발에 힘쓰는 회사 . 인생에있어 중요한 이벤트를 존중해주는 직원을 위하는 회사. 협업을 중시하며 직원과의 소통을 중요시하는 회사,성장
102,"연차 눈치 안 봐도 되고, 재택근무, 생리휴가, 도서구입 무제한, 9시 넘어서 까지 야근할 경우 야근비 25,000원 지급. 배민만의 문화가 담겨있는 각종 연례행사들.",성장
103,"월요일 1시 출근!!
도서비 무한 지원으로 책읽기 좋은사람들에게는 좋은 복지.
결혼한 사람 혹은 여성들에게는 좋은 복지가 많음.",성장
104,확실히 눈치안보고 일할 수 있음. 그러나 사람들과 융화되지 않으면 좀 힘들다 겉도는 느낌 받을수있음,성장
105,"주 35시간 근무, 월요일 오후출근, 여성휴가, 연차 눈치안보고 씀, 수평적인 기업문화,",성장
106,"잘 크고 있는 회사라는 생각이 듦, 이런 저런 소문이 들리지만 크게 개인에게 불이익이 올정도로 느껴지지는 않음. 생각보다 평화롭고, 팀 분위기가 매우 좋음.",성장
107,"좋은 기업문화가 아직 느껴지며 구애받지 않는 자유로움과 열정적인 모습이 느껴진다.
서로 예의 바르지만 유쾌한 분위기.
변화가 잦은 만큼 상당한 궁리가 필요하며 자극이 된다.
타겟팅이 분명해선지 브랜드정체성도 강하게 느껴지며 센스가 좋음.
적어도 업계에서 독보적인 인지도인 것을 무시할 수 없다. 1위의 위엄.
좋은의미든 나쁜의미든 다양한 경험 가능하며 자극적이지 않은 경험이 없을 정도로 짜릿한 업무가능.",성장
108,연차를 쓰는데 자유로우며 좋은 경력자들이 많이 들어와서 배울 수 있는 것이 많다,성장
109,"무제한 도서구입비, 좋은 사람을 만드려는 기업문화, 월요일은 오후출근, 야근과 주말출근을 못하도록하는 분위기, 공과 사를 구별하는 분위기, 업무와 삶의 균형이 잘 이루어짐, 고객을 대하는 영업직이 아니라면 수염을 기르든 머리를 기르든 문신을 하든 트레이닝복을 입든 터치하지 않음",성장
110,"쾌적한 환경/ 건물이 역 바로 앞이라 편하다.
복장이 자유롭다.",성장
111,전체적인 분위기가 사내 문화를 지키고 더 좋은방향으로 발전시키려고 노력하는 분위기,성장
112,연차쓸때 눈치볼일 전혀없다. 재밌는 사람들이 많다. 각자의 취향과 성향을 존중해주는 분위기. 직급이 높다고해서 낮은 직급의 사원들 무시하지않는다. 회사 내적으로 외적으로 잘못된게 있으면 잘못된거라고 말할수있는 분위기.,성장
113,"수평적인 분위기, 퇴근시 인사x, 연차 사용 자율적, 친근한 분위기, 다양한 이벤트와 행사가 즐거울 때도 있음",성장
114,전체적인 분위기가 사내 문화를 지키고 더 좋은방향으로 발전시키려고 노력하는 분위기,성장
115,월요일 1시 출근과 같은 근무문화에 대해서는 매우 좋았음,성장
116,"업무에 지장 없으면 연차 마음껏 사용 가능, 임원 마인드가 꼰대가 아님",성장
117,수평적인 관계. 상사도 절대 반말 안함. 정해진 휴식시간은 전혀 눈치안보고 쓸수 있음.,성장
118,조직문화가 좋다. 분위기가 자유롭고 편안하다. 책값 지원이 확실하다.,성장
119,도서를지원해줌 회식비 5개월에1회지원해줌 생리휴가가있어좋음 야근강요안함,성장
120,"월요일 오전 휴무, 도서구매 무제한 지원, 직장 동료와의 친밀한 관계. 대표 및 경영진과의 커뮤니케이션이 자유롭다.",성장
121,"수평적인 업무구조, 좋은 기업문화를 지키기 위해 애쓰는 구성원들, 명절 덕담, 좋은 이벤트와 팬문화-",성장
122,"- 젊은 기업 문화가 특징적입니다
(특히 월요일 1시 출근, 주 4.5일제)
- O2O, 푸드테크에 관심이 많은 분들께 추천합니다

그외 깨알같은 장점들 (맛있는 점심, 간식&과일, 카페 같은 내부, 바로 앞에 석촌호수, 화기애애한 분위기, 도움되는 강연이나 이벤트가 많음, 개성있는 사람들)",성장
123,"최고의 장점은 복지와 사내문화, 휴무일 보장은 기본이고 주 4.5일제는 최고의 복지! 수평적인 커뮤니케이션은 국내 어느 기업에서도 찾아볼 수 없을 것 같은 최고의 문화임.",성장
124,"휴가를 눈치 없이 쓸 수 있고, 독특한 직원들이 많음.다른 기업에 비해 훨씬 자유로운 분위기, 수평적인 회사 문화",성장
125,"도서 구입비 무제한 지원
월요일 오후 1시 출근
자유로운 분위기
다양한 사내 이벤트
건강한 마인드의 대표님
인간적으로 사원을 대해줌",성장
126,"모두가 열심히, 팀별로는 다르나 좋은 팀장을 만나면 성장의 기회가 있습니다",성장
127,"도서구입비, 자기계발 지원 등 직원복지에 신경을 써줌.",성장
128,"주 4.5일제, 도서구입비 지원은 좋음. 다만 도서구입비 같은 경우 개발자들(개발자들은 지속으로 새로운 기술에 대한 정보 및 동향 파악을위해 서적을 구입해야하는 수요가 있음)에게 조금 더 초점이 맞춰진 정책인듯.",성장
129,'휴가에는 사유가 없다.'라는 문장을 잘 지켜주는 회사. 회사 측에서는 일하기 좋은 환경을 제공 해주려고 항상 애쓴다. 어떻게 해야할지 어디로 가야할지 모를 때 좋은 구성원이 있어서 되게 도움이 많이 된다.,성장
130,"모두가 열심히, 팀별로는 다르나 좋은 팀장을 만나면 성장의 기회가 있습니다",성장
131,"도서구입비, 자기계발 지원 등 직원복지에 신경을 써줌.",성장
132,사내 분위기 매우 좋음. 능력 있는 경영진. 젊고 유능한 직원들이 많아 그만큼 성장가능성 매우 높다고 봄.,성장
133,"회사의 좋은 비전을 설정하고, 해당 비전에 다가가기 위해 일할수 있다. 직원들이 전체적으로 밝고 건강한 에너지를 가지고 있으며 서로서로 친하다.",성장
134,"워라벨이 좋고, 휴가 관련된 복지가 많음. 회사와 나를 구분해서 회사에서 시키는 것만 하고.. 정시 퇴근 하겠다고 생각 한다면.. 특히 결혼했다면 복지가 아주 만족스러움.",성장
135,"주 4.5일제와 감각있는 사무실과 휴게공간
다양한 시도와 서비스를 경험할 수 있다",성장
136,월요일 출근을 배려해 오후 출근을 한다. 이름답게 먹는거 하나는 충실하게 챙겨준다. 기업문화는 어느 회사에서도 본받을만하다. 급여도 잘 챙겨준다.,성장
137,"다들 정말 열실히 하는 분위기, 뒤쳐지지 않을려면 같이 열심히 할 수 밖에 없어서 대기업에 비해서 빠른 성장이 가능, 기업문화는 대외적으로 보이는것과 차이 없이 정말 좋음(하지만 그런 문화에 적응 못하는 분들도 꽤 계심..) 사람 때문에 힘든점은 전혀 없음. 적당히 돈(연봉)을 타협하면 일하기는 정말 좋은 회사.(사람들이 다 착함.)
여직원 복지 및 임산부 배려는 우리나라 어느 기업보다 좋다고 생각함.",성장
138,도서구입비 무제한. 업무에 대한 열정이 많고 사람들이 좋음,성장
139,"주 4.5일제와 감각있는 사무실과 휴게공간
다양한 시도와 서비스를 경험할 수 있다",성장
140,"4.5일제, 도서비 무한지원, 업계 1위라는 자부심 정도?",성장
141,"편안한 휴게실, 근무중에 나오는 음악, 매일 제공되는 신선한 과일 굿",성장
142,직급과 구애받지 않고 다양한 업무를 처음부터 끝까지 경험해볼 수 있으며 밝고 친절한 구성원들에게서 긍정적인 에너지를 얻을 수 있음,성장
143,"복지.. 도서구매지원, 신선한 과일 조달, 4.5일 출근제, 쉐프가 있는 식당..",성장
144,"책 구매 무제한 지원과 가족같은 사내문화. 특히 사내문화의 경우, 다른 회사에서 찾아보기 어려울 정도의 구심력이 있다. 그리고 프로젝트를 진행할 때 책임을 묻기 보다는 함께 해결하려는 분위기가 좋다.",성장
145,"진실로 수평적 분위기, 연봉 또한 나쁘지 않음 상대적으론. 무엇보다 자신이 프리하다면 프리한 회사로 오길",성장
146,"직원들이 젊음-> 젊은 분위기
아침 과일 제공
책 무제한 제공",성장
147,적절한 복지와 최고의 조직문화! 일도 잘하지만 인격적으로도 우수한 사람들 사이에서 보고 배우고 성장할 수 있음. 성장의 가능성 또한 무궁무진함,성장
148,CEO의 마인드가 가장 중요한 장점이죠. 믿고 따라가게 만드는 리더십. 늘 깊게 고민하고 방향을 끌어주시죠,성장
149,"자유롭고 편하다
쾌적한 근무 환경
다과 무제한 제공",성장
150,"업무분위기 굿, 과하지 않고 꼭 필요한 특별한 복지가 멋진 회사.",성장
151,단계적으로 많은 일들을 경험하고 배울 수 있고 존경할수있는 상사와 일하며 성장할 수 있다.,성장
152,빠르게 성장하는회사의 특징! 바뀌는 업무가 많습니다. 하루하루 다이나믹해요.,정체
153,"팀별로 케바케, 외근 및 인테리어관련 부서는 낮과 밤이 없어보이지만 그들에게도 얼굴을 밝아보임, 가끔 눈치없이 너무 오바하는 아래 직원들이 많으며, 사내분위기가 자유로워 컨트롤할 수 없는정도",정체
154,아직 커가는 회사라서 이것저것 세팅해 나가는 단계. 그러나 세팅해 나갈때에도 경쟁사들을 고려해서 세팅하기 때문에 이것마저도 단점이라고 할수는 없을듯.,정체
155,팀내 팀장과의 소통이 많이 있지 않았던터라 팀끼리 협업이 부족했다. 속해있던 팀 내 사정상 어쩔 수 없었지만 팀으로써 일하기에는 조금 아쉬웠던 부분이였다.,정체
156,빠르게 성장하는회사의 특징! 바뀌는 업무가 많습니다. 하루하루 다이나믹해요.,정체
157,"너무 평등한 조직문화..?
요즘에 다른 기업들과 경쟁
약간 이벤트들이 많음",정체
158,"대기업 생활(체계가 갖추어진)에 익숙한 사람들에게는 힘들 수 있음
내성적인 사람들은 회사가 마치 인싸들의 집단 같이 느껴질 수 있고 어울리는게 힘들 수 있음
끗",정체
159,아직 커가는 회사라서 이것저것 세팅해 나가는 단계. 그러나 세팅해 나갈때에도 경쟁사들을 고려해서 세팅하기 때문에 이것마저도 단점이라고 할수는 없을듯.,정체
160,"팀별로 케바케, 외근 및 인테리어관련 부서는 낮과 밤이 없어보이지만 그들에게도 얼굴을 밝아보임, 가끔 눈치없이 너무 오바하는 아래 직원들이 많으며, 사내분위기가 자유로워 컨트롤할 수 없는정도",정체
161,"신입보다는 경력직 채용이 대부분 (신입 채용은 거의 계약직)
부서 별로 근무강도 편차 심한 것 같음
업무가 확실한 경계나 체계가 없는 것 같음
성과급 없음",정체
162,자기일을 미루는 경향 많음 자기 자신꺼만 해결하면 신경안씀,정체
163,"아직 한국식 기업의 문화를 버리지 못했음, 탑다운 형식의 의사결정이 많음",정체
164,"개인주의적인 문화. 누군가에겐 장점 누군가에겐 단점.
문화는 팀마다 많이 다른 것 같습니다.
그리고 점심 식대는 좀 지원해줬으면...",정체
165,생각보다 야근이 많음 . 수평적이고 자유롭지만 리더가 책임지기 때문에 업무처리는 수직적으로 움직여지는 편. 계속해서 함께 공유하고 치열하게 성장하는 것이 미덕인 분위기라 혼자 일처리를 하는게 편하고 일의 워라밸이 중요한 사람이라면 심각하게 다시 고려해보기를.,정체
166,"팀들이 수시로 바뀌고, 사내정치가 많음 이건 어쩔 수 없는 것 같음",정체
167,"회사 위치가 별로 좋지않음. 내부적으로 특별한 단점은 없었으나, 팀장마다 업무하는 스타일이 다르다보니 생기는 업무적 부딧힘은 있음. 업무양이 적으면 조금 더 노력하라는 말을 하였으나, 이도 큰 단점으로 느끼지는 못함",정체
168,매일 프로모션이 바뀌고 계약이 자주 갱신됨. 소통없이 일방적으로 근무시간을 제한해버리기도 함.,정체
169,"이벤트가 수시로 있는데 그에 대한 메뉴얼이 미약
콜수를 적게받아도 기본급이 무조건 지급. 열심히
하는 사람한테는 나쁜조건이라고 생각함.
성과급도 몇명에게만 주는거기 때문에 콜이 잘 안들어오거나 하는 등 콜수 운이 없으면 열심히해도 띵가띵가 노는 사람들과 비슷한 급여를 받아야함",정체
170,스타트업도 아니고 대기업도 아닌 과도기 느낌으로 성장 운운하면서 갈아서 일한다 여기만 그런건 아니겠지만 그리고 이미지 실추될까봐 쉬쉬하는 회사 내 사건들 너무 많고 고인물 너무 많음,정체
171,"별도 단점이 없는게 이회사의 단점임
활발한 기운이 넘치는 회사라 오히려 너무 밝고 활발한 분위기를 힘들어한다면 적응하기 힘들수도",정체
172,회의가 많음. 주니어들이 많아서 일을 배우기엔 힘들다. 생각외로 수기업무들이 많다.,정체
173,고인물들이 인재들을 갉아먹는 곳입니다 본인들은 맞고 배민답다생각하지만 절대그렇지않다는것,정체
174,일이 많다.... 진짜 많다... 생각 의외로 많다....,정체
175,월요일에 1시출근이지만 사실 월요일에 야근을 엄청 합니다. 좋은 복지가 있지만 사실상 그 복지때문에 비효율이 발생하는 경우도 ...,정체
